,NAID,naraURL,title,pageObjectId,pageURL,file_cat,llm_extracted_pension_amount,llm_extracted_pension_amount_dollars
0,111708949,https://catalog.archives.gov/id/111708949,"Revolutionary War Pension and Bounty Land Warrant Application File W. 6545, Reuben W Wilder, Mass.",111708987,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0001/25/M804_2577/images/4176843_00664.jpg,widow,"{'applicant_name': 'Eunice Wilder', 'applicant_type': 'widow', 'place': 'Ohio', 'pension_amount': '30', 'pension_frequency': 'per annum', 'pension_act': '07/07/1838', 'soldier_rank': 'Private', 'issued_date': '07/08/1846', 'allowance_start_date': '03/04/1836', 'document_type': 'award_roll_card'}",True
1,196100358,https://catalog.archives.gov/id/196100358,"Revolutionary War Pension and Bounty Land Warrant Application File S. 5,649, for George Keller, Virginia",196100360,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_1462_8081/images/4160074_00619.jpg,soldier,"{'applicant_name': 'George Keller', 'applicant_type': 'soldier', 'place': 'Elgin', 'pension_amount': '60', 'pension_frequency': 'per ann', 'pension_act': '06/07/1832', 'soldier_rank': 'Private', 'issued_date': '05/10/1831', 'allowance_start_date': '03/04/1831', 'document_type': 'award_roll_card'}",True
2,111503547,https://catalog.archives.gov/id/111503547,"Revolutionary War Pension and Bounty Land Warrant Application File W. 6385, Thomas Ware, Va.",111503552,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0001/25/M804_2492/images/4173460_00819.jpg,widow,"{'applicant_name': 'Mildred Hart', 'applicant_type': 'widow', 'place': 'Virginia', 'pension_amount': '26.10', 'pension_frequency': 'annual', 'pension_act': '07/07/1838', 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': '09/04/1851', 'document_type': 'application_affidavit'}",True
3,54362674,https://catalog.archives.gov/id/54362674,"Revolutionary War Pension and Bounty Land Warrant Application File W. 8648, Abraham Dale, Va.",54362689,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/3626/54362674/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0731/images/4156771_00567.jpg,widow,"{'applicant_name': 'Mary Date', 'applicant_type': 'widow', 'place': 'Kentucky', 'pension_amount': '44', 'pension_frequency': 'per annum', 'pension_act': '07/07/1838', 'soldier_rank': 'Corporal', 'issued_date': '04/04/1836', 'allowance_start_date': '03/04/1836', 'document_type': 'award_roll_card'}",True
4,54330151,https://catalog.archives.gov/id/54330151,"Revolutionary War Pension and Bounty Land Warrant Application File W 2070, John Crawford, Penn.",54330216,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/3301/54330151/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0687/images/4156492_00696.jpg,widow,"{'applicant_name': 'John Crawford', 'applicant_type': 'soldier', 'place': 'Ohio', 'pension_amount': '80', 'pension_frequency': 'per annum', 'pension_act': '06/07/1832', 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': None, 'document_type': 'administrative_letter'}",True
5,54583887,https://catalog.archives.gov/id/54583887,"Revolutionary War Pension and Bounty Land Warrant Application File W. 21136, Samuel Fogg, N H",54583914,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/87/5838/54583887/content/23_b/M804-RevolutionaryWarPensionAppFiles_b/M804_0994/images/4158444_00797.jpg,widow,"{'applicant_name': 'Hannah Fogg', 'applicant_type': 'widow', 'place': 'Meredith, New Hampshire', 'pension_amount': '30.44', 'pension_frequency': 'annual', 'pension_act': '02/02/1848', 'soldier_rank': 'private', 'issued_date': None, 'allowance_start_date': '03/04/1848', 'document_type': 'application_affidavit'}",True
6,196090855,https://catalog.archives.gov/id/196090855,"Revolutionary War Pension and Bounty Land Warrant Application File W. 3020, for Thomas Jones, Virginia",196090878,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_1446_8070/images/4159971_00155.jpg,widow,"{'applicant_name': 'Elizabeth Jones', 'applicant_type': 'widow', 'place': 'Kentucky', 'pension_amount': '100', 'pension_frequency': 'per annum', 'pension_act': '07/07/1828', 'soldier_rank': 'dragoon', 'issued_date': '10/10/1838', 'allowance_start_date': '03/04/1836', 'document_type': 'award_roll_card'}",True
7,144329024,https://catalog.archives.gov/id/144329024,"Revolutionary War Pension and Bounty Land Warrant Application File W. 18134, for Zebulon Thompson, Connecticut",144329058,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0002/export_M804-RevolutionaryWarPensionAppFiles_2380_5951/images/4171893_00843.jpg,widow,"{'applicant_name': 'Lucy Thompson', 'applicant_type': 'widow', 'place': 'Connecticut', 'pension_amount': '80', 'pension_frequency': 'per annum', 'pension_act': '07/04/1836', 'soldier_rank': None, 'issued_date': '03/12/1839', 'allowance_start_date': None, 'document_type': 'administrative_letter'}",True
8,54329801,https://catalog.archives.gov/id/54329801,"Revolutionary War Pension and Bounty Land Warrant Application File W 19110, Jason Crawford, Conn.",54329803,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/1/3298/54329801/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0687/images/4156492_00222.jpg,widow,"{'applicant_name': 'Jason Crawford', 'applicant_type': 'soldier', 'place': 'New York', 'pension_amount': '8', 'pension_frequency': 'per month', 'pension_act': None, 'soldier_rank': 'Private', 'issued_date': '09/22/1818', 'allowance_start_date': '04/20/1818', 'document_type': 'award_roll_card'}",True
9,196274477,https://catalog.archives.gov/id/196274477,"Revolutionary War Pension and Bounty Land Warrant Application File W. 25716, for Peter Moore, Virginia",196274613,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_1758_8425/images/4161018_00264.jpg,widow,"{'applicant_name': 'Peter More', 'applicant_type': 'soldier', 'place': 'Virginia', 'pension_amount': '160', 'pension_frequency': 'annual', 'pension_act': '07/05/1832', 'soldier_rank': 'Lieutenant', 'issued_date': None, 'allowance_start_date': None, 'document_type': 'administrative_letter'}",True
10,54450920,https://catalog.archives.gov/id/54450920,"Revolutionary War Pension and Bounty Land Warrant Application File W. 9836, John Dougan, N.C.",54450948,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/20/4509/54450920/content/23_b/M804-RevolutionaryWarPensionAppFiles_b/M804_0838/images/4157842_00751.jpg,widow,"{'applicant_name': 'Martha Dougan', 'applicant_type': 'widow', 'place': 'Indiana', 'pension_amount': '100', 'pension_frequency': 'annual', 'pension_act': '06/17/1844', 'soldier_rank': 'Private of Cavalry & Infantry', 'issued_date': None, 'allowance_start_date': None, 'document_type': 'application_affidavit'}",True
11,54050493,https://catalog.archives.gov/id/54050493,"Revolutionary War Pension and Bounty Land Warrant Application File W. 24,670, Daniel Brigham, Mass.",54050499,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/504/54050493/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0339/images/4154119_00154.jpg,widow,"{'applicant_name': 'Anna Whigham', 'applicant_type': 'widow', 'place': 'Bridgton, County of Cumberland, State of Maine', 'pension_amount': '31.10', 'pension_frequency': 'annual', 'pension_act': '02/02/1848', 'soldier_rank': 'Private', 'issued_date': None, 'allowance_start_date': None, 'document_type': 'application_affidavit'}",True
12,54629793,https://catalog.archives.gov/id/54629793,"Revolutionary War Pension and Bounty Land Warrant Application File S. 10,712, Richard Furber, N.H.",54629804,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/6297/54629793/content/23_b/M804-RevolutionaryWarPensionAppFiles_b/M804_1038/images/4158512_00217.jpg,soldier,"{'applicant_name': 'Richard Parker', 'applicant_type': 'soldier', 'place': 'Strafford in the State of New Hamps', 'pension_amount': '31.55', 'pension_frequency': 'per annum', 'pension_act': '06/07/1832', 'soldier_rank': 'Son', 'issued_date': '04/20/1835', 'allowance_start_date': None, 'document_type': 'award_roll_card'}",True
13,196445174,https://catalog.archives.gov/id/196445174,"Revolutionary War Pension and Bounty Land Warrant Application File W 26524, for Samuel Proctor, Massachusetts",196445193,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_1980_8634/images/4161953_00875.jpg,widow,"{'applicant_name': 'Joanna Thompson', 'applicant_type': 'widow', 'place': 'New', 'pension_amount': '80.40', 'pension_frequency': 'per annum', 'pension_act': '07/07/1838', 'soldier_rank': 'Private', 'issued_date': '04/30/1846', 'allowance_start_date': '03/04/1836', 'document_type': 'award_roll_card'}",True
14,196452626,https://catalog.archives.gov/id/196452626,"Revolutionary War Pension and Bounty Land Warrant Application File W. 24720, for James Randall, Massachusetts",196452635,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_1998_8637/images/4162006_00787.jpg,widow,"{'applicant_name': 'Mary Randall', 'applicant_type': 'widow', 'place': None, 'pension_amount': '80.66', 'pension_frequency': 'per annum', 'pension_act': '02/02/1848', 'soldier_rank': 'private & Corporal', 'issued_date': '12/07/1848', 'allowance_start_date': '03/04/1848', 'document_type': 'award_roll_card'}",True
15,144281733,https://catalog.archives.gov/id/144281733,"Revolutionary War Pension and Bounty Land Warrant Application File W. 25073, for Benjamin Sturges, Connecticut",144281764,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0002/export_M804-RevolutionaryWarPensionAppFiles_2319_6289/images/4170811_00149.jpg,widow,"{'applicant_name': 'Benjamin Sturgess', 'applicant_type': 'soldier', 'place': 'Connecticut', 'pension_amount': '11', 'pension_frequency': 'per annum', 'pension_act': None, 'soldier_rank': 'private', 'issued_date': '11/26/1852', 'allowance_start_date': '03/04/1831', 'document_type': 'award_roll_card'}",True
16,54342715,https://catalog.archives.gov/id/54342715,"Revolutionary War Pension and Bounty Land Warrant Application File S. 23,587, Solomon Crowell, Conn.",54342717,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/3427/54342715/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0703/images/4156696_00548.jpg,soldier,"{'applicant_name': 'Solomon Crowell', 'applicant_type': 'soldier', 'place': 'N York', 'pension_amount': '33.33', 'pension_frequency': 'per an', 'pension_act': '06/07/1832', 'soldier_rank': 'Private', 'issued_date': '04/26/1837', 'allowance_start_date': '03/04/1831', 'document_type': 'award_roll_card'}",True
17,196657930,https://catalog.archives.gov/id/196657930,"Revolutionary War Pension and Bounty Land Warrant Application File W. 6,120, for James Smith, Delaware",196657937,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_2217_5259/images/4170081_00340.jpg,widow,"{'applicant_name': None, 'applicant_type': 'unknown', 'place': 'Richmond, Va', 'pension_amount': '40', 'pension_frequency': 'per annum', 'pension_act': '07/04/1836', 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': None, 'document_type': 'administrative_letter'}",True
18,196689248,https://catalog.archives.gov/id/196689248,"Revolutionary War Pension and Bounty Land Warrant Application File W. 3,469, for John Sooder, Pennsylvania",196689292,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/M804-RevolutionaryWarPensionAppFiles/0003/export_M804-RevolutionaryWarPensionAppFiles_2246_5397/images/4170110_00224.jpg,widow,"{'applicant_name': 'Soder', 'applicant_type': 'widow', 'place': None, 'pension_amount': '1140', 'pension_frequency': None, 'pension_act': None, 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': None, 'document_type': 'administrative_letter'}",True
19,53988235,https://catalog.archives.gov/id/53988235,"Revolutionary War Pension and Bounty Land Warrant Application File W. 5397, John Blanchard, R. I. Vt.",53988248,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/9882/53988235/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0263/images/4154008_00293.jpg,rejected||widow,"{'applicant_name': 'Mary Myers', 'applicant_type': 'widow', 'place': 'Pownal, Vermont', 'pension_amount': '33.34', 'pension_frequency': 'annual', 'pension_act': None, 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': None, 'document_type': 'application_affidavit'}",True
20,54890396,https://catalog.archives.gov/id/54890396,"Revolutionary War Pension and Bounty Land Warrant Application File W. 18,033, Jeremiah Hobart, Mass.",54890399,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/8903/54890396/content/23_b/M804-RevolutionaryWarPensionAppFiles_b/M804_1293/images/4159486_00117.jpg,widow,"{'applicant_name': 'Rebecca Hobart', 'applicant_type': 'widow', 'place': 'New Hampshire', 'pension_amount': '31.32', 'pension_frequency': 'per annum', 'pension_act': '03/03/1843', 'soldier_rank': 'Private', 'issued_date': '07/22/1843', 'allowance_start_date': '03/04/1843', 'document_type': 'award_roll_card'}",True
21,54135631,https://catalog.archives.gov/id/54135631,"Revolutionary War Pension and Bounty Land Warrant Application File W. 18875, Reuben Cadwell, Conn.",54135649,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/1356/54135631/content/23/M804-RevolutionaryWarPensionAppFiles/M804_0445/images/4154288_00530.jpg,widow,"{'applicant_name': 'Rebecca Cadwell', 'applicant_type': 'widow', 'place': 'New York', 'pension_amount': '80', 'pension_frequency': 'annual', 'pension_act': None, 'soldier_rank': None, 'issued_date': None, 'allowance_start_date': None, 'document_type': 'application_affidavit'}",True
22,54587061,https://catalog.archives.gov/id/54587061,"Revolutionary War Pension and Bounty Land Warrant Application File W. 25,584, Freeman Foot, Mass. Vt.",54587064,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/61/5870/54587061/content/23_b/M804-RevolutionaryWarPensionAppFiles_b/M804_0997/images/4158447_00302.jpg,widow,"{'applicant_name': 'Freeman Foot', 'applicant_type': 'soldier', 'place': 'Rutland', 'pension_amount': '96', 'pension_frequency': 'per annum', 'pension_act': '02/08/1853', 'soldier_rank': 'private', 'issued_date': '11/21/1868', 'allowance_start_date': '07/27/1868', 'document_type': 'award_roll_card'}",True
